,state,month_number,new_cases
1318,ND,7,2865
1319,ND,8,4236
1320,ND,9,11385
1321,ND,10,18063
1322,ND,11,35570
1323,ND,12,17012
1324,ND,13,4655
1325,ND,14,2380
1326,ND,15,3566
1327,ND,16,4060
1328,ND,17,2625
1329,ND,18,925
1330,ND,19,706
1331,ND,20,4257
1332,ND,21,15734
1333,ND,22,14987
1334,ND,23,13457
1335,ND,24,12763
1336,ND,25,44203
1337,ND,26,20492
1338,ND,27,2365
1339,ND,28,1043
1340,ND,29,2630
1341,ND,30,5621
1342,ND,31,6514
1343,ND,32,8443
1344,ND,33,4389
1345,ND,34,3605
1346,ND,35,4360
1347,ND,36,3771
1348,ND,37,2127
1349,ND,38,3210
1350,ND,39,3223
1351,ND,40,1886
1352,ND,41,604
1353,NE,1,0
1354,NE,2,0
1355,NE,3,74
1356,NE,4,3722
1357,NE,5,8719
1358,NE,6,5084
1359,NE,7,7056
1360,NE,8,7088
1361,NE,9,12293
1362,NE,10,21190
1363,NE,11,52669
1364,NE,12,44749
1365,NE,13,23837
1366,NE,14,11048
1367,NE,15,10400
1368,NE,16,8680
1369,NE,17,3385
1370,NE,18,1321
1371,NE,19,3401
1372,NE,20,12329
